Card Type,Card Name ,Employee Count,Revenue Per Employee,Expense Per Employee,Overhead Cost,Overhead Cost Percentage Revenue,Overhead Cost Percentage Expense,Overhead Costs Reduction Percentage,Overhead Cost Per Employee,Risk,Growth,Turnover,Hires,Fines,Excess Hires,Revenue Per Employee Percentage ,Expense Per Employee Percentage,Capital
Resource Card,Recruitment Agency (12),,,,,,2.4,,,,,,,,,,,
Resource Card,Recruitment Agency (13),,,,,,2.6,,,,,,,,,,,
Resource Card,Recruitment Agecny (14),,,,,,2.8,,,,,,,,,,,
Resource Card,Recruitment Agency (15),,,,,,3,,,,,,,,,,,
Resource Card,Recruitment Agency (16),,,,,,3.2,,,,,,,,,,,
Resource Card,Recruitment Agency (17),,,,,,3.4,,,,,,,,,,,
Resource Card,Recruitment Agency (18),,,,,,3.6,,,,,,,,,,,
Resource Card,Recruitment Agency (19),,,,,,3.8,,,,,,,,,,,
Resource Card,Recruitment Agency (20),,,,,,4,,,,,,,,,,,
Resource Card,Sales as a Service (1),,,,,0.2,,,,,,,,,,,,
Resource Card,Sales as a Service (2),,,,,0.4,,,,,,,,,,,,
Resource Card,Sales as a Service (3),,,,,0.6,,,,,,,,,,,,
Resource Card,Sales as a Service (4),,,,,0.8,,,,,,,,,,,,
Resource Card,Sales as a Service (5),,,,,1,,,,,,,,,,,,
Resource Card,Sales as a Service (6),,,,,1.2,,,,,,,,,,,,
Resource Card,Sales as a Service (7),,,,,1.4,,,,,,,,,,,,
Resource Card,Sales as a Service (8),,,,,1.6,,,,,,,,,,,,
Resource Card,Sales as a Service (9),,,,,1.8,,,,,,,,,,,,
Resource Card,Sales as a Service (10),,,,,2,,,,,,,,,,,,
Resource Card,Sales as a Service (11),,,,,2.2,,,,,,,,,,,,
Resource Card,Sales as a Service (12),,,,,2.4,,,,,,,,,,,,
Resource Card,Sales as a Service (13),,,,,2.6,,,,,,,,,,,,
Resource Card,Sales as a Service (14),,,,,2.8,,,,,,,,,,,,
Resource Card,Sales as a Service (15),,,,,3,,,,,,,,,,,,
Resource Card,Sales as a Service (16),,,,,3.2,,,,,,,,,,,,
Resource Card,Sales as a Service (17),,,,,3.4,,,,,,,,,,,,
Resource Card,Sales as a Service (18),,,,,3.6,,,,,,,,,,,,
Resource Card,Sales as a Service (19),,,,,3.8,,,,,,,,,,,,
Resource Card,Sales as a Service (20),,,,,4,,,,,,,,,,,,
Resource Card,CRM System,,,,"30,000",,,,,,2,,,,,,,
Resource Card,Applicant Tracking System,,,,,,,,200,-5,,,3,,,,,
Resource Card,ERP System,,,,"30,000",,,,,,1,,,,,,-0.05,
Resource Card,LMS System,,,,,,,,100,,,-5,,,,0.05,,
Resource Card,Time and Attendance,,,,,,,,200,,,,,,,,-0.05,
Resource Card,Managed IT Services,,,,,,,,1200,-5,,,,,,0.05,-0.05,
Resource Card,Leadership Workshop,,,,"30,000",,,,,-5,,,,,,0.05,-0.05,
Resource Card,Sales Training,,,,"30,000",,,,,,2,,,,,,,
Resource Card,Marketing Services,,,,,,,,300,,2,,,,,,,
Resource Card,Customer Support Center,,,,,,,,700,,3,,,,,,,
Resource Card,Performance Management System,,,,,,,,100,,,-2,,,,,,
Resource Card,Safety Training Consultant,,,,,,,,250,-10,,-3,,,,,,
Resource Card,Accounting Services,,,,,,,,600,-10,,,,,,,-0.05,
Market Card,New Supplier in the Market,,,,,,,-0.1,,,,,,,,,,
Market Card,Tarriffs on Imported Goods,,,,,,,,,,,,,,,,0.15,
Market Card,Market Compeition,,,,,,,,,,,7,,,,,,
Market Card,Market Demand Increase,,,,,,,,,,5,,,,,0.1,,
Market Card,Customer Poaching,,,,,,,,,,-10,,,,,,,
Market Card,Sexual Harassment Lawsuit,,,,,,,,,10,-5,5,-5,750000,,,,
Market Card,Federal Trade Commission,,,,,,,,,10,-5,5,-5,"500,000",,,,
Market Card,New Software Capability,,,,,,,,,,,,,,,0.1,-0.1,
Market Card,Market Demand Decrease,,,,,,,,,,-5,,,,,-0.1,,
Market Card,Hostile Takeover Attempt,,,,,,,,,,-5,,,,,,,
Market Card,Star Employees Hired,,,,,,,,,,,,,,,0.1,,
Market Card,The Great Recession,,,,,,,,,,,,,,,-0.25,,
Market Card,The Great Recovery,,,,,,,,,,,,,,,0.25,,
Market Card,Quite Quiting Epidemic,,,,,,,,,,,,,,,-1,0.05,
Market Card,DDOS Attack,,,,,,,,,,,,,,,-0.25,,
Market Card,AI Revolution,,,,,,,,,,,,,,,0.25,,
Market Card,Interest Rates Increase,,,,,,,,,,,,,,,,0.1,
Market Card,Safety Violation,,,,,,,,,10,-5,5,-5,"120,000",,,,
Market Card,Internal Revenue Service Audit,,,,,,,,,10,-5,5,-5,120000,,,,
Market Card,National Labor Relations Board,,,,,,,,,10,-5,5,-5,"180,000",,,,
Market Card,Affordable Care Act Violation,,,,,,,,,10,-5,5,-5,"162,400",,,,
Market Card,Family Medical Leave Act,,,,,,,,,10,-5,5,-5,"250,000",,,,
Market Card,Americans with Disabilites Act,,,,,,,,,10,-5,5,-5,"100,000",,,,
Market Card,Coninued Group Health Insurance,,,,,,,,,10,-5,5,-5,"75,000",,,,
Market Card,Fair Labor Standards Act,,,,,,,,,10,-5,5,-5,"250,000",,,,
Market Card,Employment Eligibility Verification,,,,,,,,,10,-5,5,-5,"150,000",,,,
Market Card,Talent Scarcity,,,,,,,,,,,,-5,,,,0.25,
Market Card,New Local Competitor,,,,,,,,,,-5,,,,,,,
Market Card,New Client in the Market,,,,,,,,,,5,,,,,,,
